uidx,obs_id,exchange_idx,student_text,teacher_text,student_on_task_num_agree,student_on_task_majority,student_on_task_std,teacher_on_task_num_agree,teacher_on_task_majority,teacher_on_task_std,active_listening_num_agree,active_listening_majority,active_listening_std,follow_up_num_agree,follow_up_majority,follow_up_std,student_on_task,teacher_on_task,active_listening,follow_up,both_on_task,follow_up_excl_none,follow_up_grouped,student_on_task_zscore,teacher_on_task_zscore,active_listening_zscore,follow_up_zscore,both_on_task_zscore,follow_up_excl_none_zscore,follow_up_grouped_zscore
100_197,100,100_197,The three is not in there.,"The three is not in here.  So, Student R makes a good point. How can three be our answer if three’s not in here? Student T?",3,1,0.0,3,1,0.0,3,2.0,0.0,2,1.0,0.5773502691896258,1.0,1.0,2.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.49900816763924527,0.4881936660174182,0.9702476983748896,-0.10993987973116547,0.51439882406923,-0.44740406094315704,0.2528755699128868
100_22,100,100_22,Oh.  And you divide it by five?,"Yes. Can I see your answers?  Where did you get nine from?  When they say do at this, is nine even on here?",3,1,0.0,3,1,0.0,2,1.0,0.5773502691896257,2,2.0,0.5773502691896257,1.0,1.0,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,0.479511539493676,0.45794502899870576,-0.20817134862324452,0.7580937315168182,0.5093770282332688,0.4273088948885717,1.069611454337121
100_240,100,100_240,I forgot what this was called.,"Everybody’s working on this one, right, because this is the one that’s written down.  So, everybody wrote down cone.",3,1,0.0,3,1,0.0,2,0.0,1.1547005383792517,1,,,1.0,1.0,0.6666666666666666,0.0,1.0,,0.0,0.5011365659445798,0.4752590145924042,-1.2284591896235046,-1.1439803031246265,0.5229289056977626,,-0.9314487587103022
1015_153,1015,1015_153,I did three divided by two.,I didn’t ask you to do an equation.  You did three divided by two?,3,1,0.0,3,1,0.0,2,2.0,0.5773502691896257,2,2.0,0.5773502691896257,1.0,1.0,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,0.47092000610779877,0.47618643313447295,0.5204453709481179,0.8977827580061529,0.4911346480248155,0.5682146939626384,1.2476296862553873
1016_48,1016,1016_48,"If the last digit is 0, then—","Uh-huh, and what’s this last digit?",3,1,0.0,3,1,0.0,3,1.0,0.0,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4564331159107005,0.43924924307682667,-0.3401700346736067,0.16069107124503756,0.4812821448068239,-0.6125367235098175,0.5466629843608622
101_107,101,101_107,"Again, it says the length times width is 2 and then all length times width plus height is 3-D.","Exactly.  That’s a very, very, very, very important element. You need to know that, okay?  Three dimensional; two dimensional.  This has length, width and height.  This only has length and width.  It has no height.  So, the volume –",3,1,0.0,3,1,0.0,3,2.0,0.0,1,,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5123258198610571,0.5035272981488047,1.009569213780917,-0.07633258570223656,0.5438998397776044,0.08250811655332435,0.3274236642142956
1020_37,1020,1020_37,Is she 5 years old?,"Yes she is.  That was a great question.  Good job.  What does that mean, Student T?  Listen to Student T.  Let him explain.  Everything is pennies.  You need to listen to the directions.  This is all pennies.  These are 5 pennies.  We don’t have enough pennies for us all to use.  Pretend these are pennies.  Now let me say it again.  I see people changing out their pennies for the actual dimes, quarters, and nickels.  While it’s wonderful that you know how to do that, that’s not the point.  I know what I said.  Don’t interrupt me.  What did I say?  Go ahead, Student A.",3,1,0.0,3,1,0.0,2,2.0,0.5773502691896257,1,,1.0,1.0,1.0,1.6666666666666667,1.0,1.0,0.5,1.0,0.4961995373530308,0.4797110785057824,0.5625368323210798,0.009540194192223869,0.5210108200240023,0.1438247723060228,0.383107964647633
1020_59,1020,1020_59,Because she is 5 and her parents gave her 5 each month of pennies.,Each month?,3,1,0.0,3,1,0.0,2,2.0,0.5773502691896257,3,2.0,0.0,1.0,1.0,1.6666666666666667,2.0,1.0,1.0,2.0,0.4333571129972294,0.40542508224402024,0.4843267089438574,1.2782134292802336,0.4454473713807108,1.1764010166725463,1.5779699592921534
1026_69,1026,1026_69,You subtract all of them.,What did I do to get the quotient?,3,1,0.0,3,1,0.0,3,0.0,0.0,1,,,1.0,1.0,0.0,,1.0,,0.0,0.43490355674501463,0.4193612271184642,-2.0669380505440462,,0.4524038245055452,,-0.9617130180524415
1028_136,1028,1028_136,The first thing – he gathered all the objects and then he added in the parentheses first.,There you go.  You the bomb.,3,1,0.0,3,1,0.0,3,1.0,0.0,3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,0.0,0.42128710674536357,0.4122945051676914,-0.40497259469959374,-1.4066418706262354,0.4328829728785108,,-0.9513313850702314
