uidx,obs_id,exchange_idx,student_text,teacher_text,follow_up_unfiltered_zscore,follow_up_unfiltered_majority,follow_up_filtered_zscore,follow_up_filtered_majority
100_197,100,100_197,The three is not in there.,"The three is not in here.  So, Student R makes a good point. How can three be our answer if three’s not in here? Student T?",0.2528755699128868,1.0,-0.44740406094315704,0.0
100_22,100,100_22,Oh.  And you divide it by five?,"Yes. Can I see your answers?  Where did you get nine from?  When they say do at this, is nine even on here?",1.069611454337121,2.0,0.4273088948885717,1.0
100_240,100,100_240,I forgot what this was called.,"Everybody’s working on this one, right, because this is the one that’s written down.  So, everybody wrote down cone.",-0.9314487587103022,0.0,,
1015_153,1015,1015_153,I did three divided by two.,I didn’t ask you to do an equation.  You did three divided by two?,1.2476296862553873,2.0,0.5682146939626384,1.0
1016_48,1016,1016_48,"If the last digit is 0, then—","Uh-huh, and what’s this last digit?",0.5466629843608622,1.0,-0.6125367235098175,0.0
101_107,101,101_107,"Again, it says the length times width is 2 and then all length times width plus height is 3-D.","Exactly.  That’s a very, very, very, very important element. You need to know that, okay?  Three dimensional; two dimensional.  This has length, width and height.  This only has length and width.  It has no height.  So, the volume –",0.32742366421429553,,0.08250811655332435,
1020_37,1020,1020_37,Is she 5 years old?,"Yes she is.  That was a great question.  Good job.  What does that mean, Student T?  Listen to Student T.  Let him explain.  Everything is pennies.  You need to listen to the directions.  This is all pennies.  These are 5 pennies.  We don’t have enough pennies for us all to use.  Pretend these are pennies.  Now let me say it again.  I see people changing out their pennies for the actual dimes, quarters, and nickels.  While it’s wonderful that you know how to do that, that’s not the point.  I know what I said.  Don’t interrupt me.  What did I say?  Go ahead, Student A.",0.38310796464763297,,0.1438247723060228,
1020_59,1020,1020_59,Because she is 5 and her parents gave her 5 each month of pennies.,Each month?,1.5779699592921537,2.0,1.1764010166725463,1.0
1026_69,1026,1026_69,You subtract all of them.,What did I do to get the quotient?,-0.9617130180524415,0.0,,
1028_136,1028,1028_136,The first thing – he gathered all the objects and then he added in the parentheses first.,There you go.  You the bomb.,-0.9513313850702314,0.0,,
1030_100,1030,1030_100,"If you have already titled, you just put their numbers?","Yeah, you just put their numbers.  You already have the titles so you’re just putting the number underneath.  You’re just putting the number underneath.  Okay, so put Student O. Ask her to spell her name so she knows.  You’re just putting the number.  Your partner is talking to you.  Look at here too.  Student J, if you want to sit there, you can or it doesn’t matter.  So you have your numbers now.  Now, you’re going to do—this part is going to be on your own because you all have different numbers.  The next three things that you’re going to work on, the mean.  Average of each color for students one and two.  So that means I’m gonna take my red or actually, no, I’m gonna take my green because I’m green.  I’ve got green six and one.  If I’m finding the average, I have to add those together.",-0.5048232608414217,0.0,-1.0702591020190135,
1030_241,1030,1030_241,I already did Student S and now I’m with Student A but how can—,You’re getting all even numbers for your mean?  How is that possible?,-0.9178615695814963,0.0,,
1030_256,1030,1030_256,I don’t get it.,"You have to find the mean for orange for Student L and M.  The mean for yellow, Student L and M.  The mean for that for Student L and M.  You gotta get the same set of numbers, five of those for three and four.  Do that first.",0.06900276843249976,1.0,-0.7784421448901373,0.0
1030_276,1030,1030_276,"Averages?  Oh, the average.  It’s right there.","That’s what mean is.  I don’t know where you’re getting one to—why are you putting ratios?  It’s not ratios, honey. You should have whole numbers.  You’re taking all of—I don’t get that though.  Here, all of these numbers plus where are the new means?",0.03350903734257885,1.0,-0.6202725901682418,0.0
1035_487,1035,1035_487,We were supposed to be –,"But don’t do that to him.  Turn around, Student T.  We could change all the [coughs], sorry, all of this to inches.  If we change one foot, three inches to inches, how many inches would that be?",-0.8949301520674412,0.0,,
1035_508,1035,1035_508,Four feet and seven inches for me.,Median –,-0.9078721757765414,0.0,,
1035_736,1035,1035_736,You only do – y’all did hers.,"So, Student M –",-0.8447051584841047,0.0,,
1035_831,1035,1035_831,"Okay, let’s go.  I’m sorry.",The mode is?,-0.9592971541809426,0.0,,
1035_868,1035,1035_868,"Student C, Student J, Student M –",Which height is that?,0.8493400200036617,1.0,-0.08244163984165738,0.0
1036_3,1036,1036_3,Today we will identify and –,Manipulate.,-0.9411893606185128,0.0,,
1036_324,1036,1036_324,These papers won’t stay still.,"Well you just have to take your time.  Just take your time. Take your time.  One pattern, one big pattern you’re gonna make on here, understand.  One big pattern you’re gonna make.  Just take your time.  Very good.  Just take your time and see how you can make – take this and make a big pattern.  You can design your pattern to look like a person or an animal.  Remember, there should be no space in between there.  That’s a rule for tessellation. Come on, Student D, pick up your things and cooperate.  Come on, Student D, you want to be in this.",0.027459609988440603,1.0,-0.673945106415204,0.0
1038_195,1038,1038_195,How you did in school.,How you did in school?  They might if they were trying to look at your college scores but what other reasons might they need to look at data?,1.11409895335407,2.0,0.434403120615412,1.0
